Year,Total_000,BEV_000,PHEV_000,ICE_000,BEV_Pct,PHEV_Pct,Source
2020,2325,44,155,2126,1.9,6.7,Estimated - verify against BMW AR2020
2021,2521,103.9,230,2187,4.1,9.1,BMW AR2025 (BEV); total from AR2025 deliveries table
2022,2399.6,215.8,279,1905,9.0,11.6,BMW AR2025 (BEV and total); PHEV estimated
2023,2554.2,375.7,250,1928,14.7,9.8,BMW AR2025 (BEV and total); PHEV estimated
2024,2450.9,426.5,208,1816,17.4,8.5,BMW AR2025 (BEV total and overall total)
2025,2463.7,442.1,200,1822,17.9,8.1,BMW AR2025 (BEV and total); PHEV estimated
